Marca temporal,¿Cuál es tu género?,¿Cuál es tu edad?,¿Compraste online alguna vez?,"En una escala del 1 al 10, siendo 1 casi nunca o nulo y 10 mucho, ¿Con que frecuencia realizas una compra online?",¿Cuál de estas opciones elegís a la hora de comprar?,"Si soles comprar frecuentemente, ¿Cuál es la principal razón?","Si no soles comprar frecuentemente, ¿Cuál es la principal razón?","En una escala del 1 al 10, siendo 1 una experiencia negativa y 10 positiva, ¿Qué tan fácil y práctico te resulta este método de consumo? ",¿A través de que página o plataforma realizas la compra?,¿Qué tipo de producto consumís más online?,En caso de que compres online ¿En qué año compraste más?
30/5/2022 12:39:06,Mujer,18 - 25,Sí,10,Emprendedores,Posibilidad de hacerlo en cualquier momento y lugar,,10,"Instagram, Sitio web propio","Ropa, Alimentos, Accesorios",En el 2020
30/5/2022 12:40:20,Varón,18 - 25,Sí,7,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Verificar la calidad,8,"WhatsApp, Sitio web propio","Ropa, Alimentos",Entre el 2021 - 2022
30/5/2022 12:43:08,Mujer,18 - 25,Sí,4,"Empresas, Emprendedores",Comodidad,,7,Sitio web propio,Ropa,En el 2020
30/5/2022 12:43:23,No binario,56 o más,Sí,6,"Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,Prefiero acercarme al comercio y contar con la opinión de un vendedor,8,Sitio web propio,Fornai,Antes del 2010
30/5/2022 12:47:23,Mujer,18 - 25,Sí,4,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,Prefiero ver el producto antes de comprar,6,"WhatsApp, Mercado libre, Instagram","Ropa, Tecnología, Servicios",En el 2020
30/5/2022 12:48:52,Mujer,18 - 25,Sí,1,Emprendedores,Mayor disponibilidad de stock online,Prefiero ver el producto antes de comprar,2,Instagram,Ropa,En el 2020
30/5/2022 12:49:21,Mujer,18 - 25,Sí,4,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,7,"Mercado libre, Instagram","Ropa, Educación",En el 2020
30/5/2022 12:49:23,Varón,18 - 25,Sí,5,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,7,"Mercado libre, Instagram, Sitio web propio","Ropa, Calzado",En el 2020
30/5/2022 12:50:16,Varón,18 - 25,Sí,4,"Empresas, Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,8,Sitio web propio,Ropa,Entre el 2021 - 2022
30/5/2022 12:50:57,Mujer,18 - 25,Sí,2,"Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,8,"Mercado libre, Sitio web propio","Juegos y juguetes, Cosméticos y productos de farmacia",En el 2020
30/5/2022 12:54:58,Mujer,18 - 25,Sí,9,"Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,10,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Alimentos, Calzado, Electrodomésticos, Productos para la actividad física, Accesorios, Cosméticos y productos de farmacia, Tecnología, Servicios, Educación",En el 2020
30/5/2022 12:56:38,Mujer,18 - 25,Sí,4,"Empresas, Conocidos con pequeños emprendimientos (familiar, amigos)",Mayor disponibilidad de stock online,Prefiero ver el producto antes de comprar,7,"Mercado libre, Sitio web propio","Ropa, Productos para el hogar, Accesorios",En el 2020
30/5/2022 13:08:01,Varón,18 - 25,Sí,8,"Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,10,Mercado libre,"Alimentos, Productos para el hogar, Electrodomésticos, Tecnología",En el 2020
30/5/2022 13:08:01,Mujer,18 - 25,Sí,7,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,9,"Mercado libre, Sitio web propio","Alimentos, Cosméticos y productos de farmacia",En el 2020
30/5/2022 13:08:09,Varón,18 - 25,Sí,8,"Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,10,Mercado libre,"Alimentos, Productos para el hogar, Electrodomésticos, Tecnología",En el 2020
30/5/2022 13:08:45,Mujer,18 - 25,Sí,10,Emprendedores,Comodidad,,9,"Marketplace, Instagram, Sitio web propio","Ropa, Accesorios, Cosméticos y productos de farmacia",Entre el 2021 - 2022
30/5/2022 13:12:37,Mujer,18 - 25,Sí,3,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,Prefiero ver el producto antes de comprar,9,Sitio web propio,Ropa,En el 2020
30/5/2022 13:19:02,Varón,18 - 25,Sí,5,"Empresas, Conocidos con pequeños emprendimientos (familiar, amigos)",,Prefiero ver el producto antes de comprar,8,"Mercado libre, Instagram","Ropa, Calzado, Juegos y juguetes, Tecnología",En el 2020
30/5/2022 13:24:31,Mujer,18 - 25,Sí,2,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,9,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Educación",En el 2020
30/5/2022 13:30:55,Mujer,18 - 25,Sí,4,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,No me manejo bien con las páginas web,7,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Cosméticos y productos de farmacia",En el 2020
30/5/2022 13:34:09,Varón,17 o menos,Sí,8,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,8,"Mercado libre, Sitio web propio","Ropa, Electrodomésticos, Productos para la actividad física, Accesorios, Tecnología, Educación",En el 2020
30/5/2022 13:39:32,Mujer,17 o menos,Sí,4,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,8,"WhatsApp, Mercado libre, Sitio web propio","Ropa, Alimentos, Calzado, Tecnología, Educación",En el 2020
30/5/2022 14:09:08,Mujer,18 - 25,Sí,10,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,8,"Mercado libre, Instagram","Ropa, Alimentos, Calzado, Productos para el hogar, Accesorios, Cosméticos y productos de farmacia, Servicios",Entre el 2021 - 2022
30/5/2022 14:10:39,Mujer,18 - 25,Sí,5,"Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,9,Mercado libre,"Ropa, Alimentos, Accesorios, Cosméticos y productos de farmacia, Tecnología, Servicios",En el 2020
30/5/2022 14:13:08,Mujer,18 - 25,Sí,7,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,9,"Mercado libre, Sitio web propio",Ropa,Entre 2016 - 2019
