Marca temporal,¿Cuál es tu género?,¿Cuál es tu edad?,¿Compraste online alguna vez?,"En una escala del 1 al 10, siendo 1 casi nunca o nulo y 10 mucho, ¿Con que frecuencia realizas una compra online?",¿Cuál de estas opciones elegís a la hora de comprar?,"Si soles comprar frecuentemente, ¿Cuál es la principal razón?","Si no soles comprar frecuentemente, ¿Cuál es la principal razón?","En una escala del 1 al 10, siendo 1 una experiencia negativa y 10 positiva, ¿Qué tan fácil y práctico te resulta este método de consumo? ",¿A través de que página o plataforma realizas la compra?,¿Qué tipo de producto consumís más online?,En caso de que compres online ¿En qué año compraste más?
31/5/2022 8:36:05,Varón,46 - 55,Sí,4,"Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,5,Mercado libre,"Ropa, Productos para la actividad física",Entre el 2021 - 2022
31/5/2022 8:36:33,Mujer,18 - 25,Sí,4,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",,Verificar la calidad,7,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Calzado, Productos para la actividad física, Cosméticos y productos de farmacia",En el 2020
31/5/2022 8:36:48,Mujer,17 o menos,Sí,6,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,7,Sitio web propio,Ropa,Entre el 2021 - 2022
31/5/2022 8:39:08,Mujer,36 - 45,Sí,10,"Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,10,Mercado libre,Alimentos,Entre el 2021 - 2022
31/5/2022 8:43:03,Mujer,18 - 25,Sí,5,Emprendedores,,Prefiero ver el producto antes de comprar,6,"Instagram, Sitio web propio",Ropa,Entre el 2021 - 2022
31/5/2022 8:44:20,Mujer,36 - 45,Sí,5,"Empresas, Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,Prefiero ver el producto antes de comprar,9,"Mercado libre, Instagram","Ropa, Productos para el hogar",En el 2020
31/5/2022 8:47:33,Mujer,46 - 55,Sí,7,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,Prefiero ver el producto antes de comprar,10,"WhatsApp, Mercado libre, Sitio web propio","Alimentos, Productos para el hogar, Accesorios",Entre el 2021 - 2022
31/5/2022 8:48:26,Varón,18 - 25,Sí,7,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero acercarme al comercio y contar con la opinión de un vendedor,10,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Tecnología",En el 2020
31/5/2022 8:51:36,Mujer,18 - 25,Sí,8,"Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,8,"Mercado libre, Sitio web propio","Ropa, Productos para el hogar, Accesorios, Cosméticos y productos de farmacia",Entre el 2021 - 2022
31/5/2022 8:54:01,Mujer,18 - 25,Sí,9,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,8,"Mercado libre, Instagram, Sitio web propio","Ropa, Accesorios",En el 2020
31/5/2022 8:56:23,Varón,36 - 45,Sí,7,"Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,10,Mercado libre,Cosméticos y productos de farmacia,Entre el 2021 - 2022
31/5/2022 9:01:28,Mujer,17 o menos,Sí,4,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos)",,Prefiero ver el producto antes de comprar,8,"Mercado libre, Instagram, Sitio web propio","Ropa, Calzado, Electrodomésticos",En el 2020
31/5/2022 9:35:32,Varón,18 - 25,Sí,6,"Empresas, Emprendedores",Mayor disponibilidad de stock online,Prefiero acercarme al comercio y contar con la opinión de un vendedor,6,Marketplace,Alimentos,En el 2020
31/5/2022 9:44:04,Mujer,18 - 25,Sí,1,"Empresas, Emprendedores",,"las primeras 3, aparte me aseguro que salga bien ",3,Sitio web propio,"Ropa, Accesorios",En el 2020
31/5/2022 9:56:37,Varón,17 o menos,Sí,8,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,9,Sitio web propio,Ropa,Entre el 2021 - 2022
31/5/2022 9:58:18,Varón,17 o menos,Sí,3,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,7,"Mercado libre, Marketplace, Sitio web propio","Ropa, Accesorios, Tecnología",Entre el 2021 - 2022
31/5/2022 10:20:23,Mujer,18 - 25,Sí,5,Emprendedores,Comodidad,,5,Instagram,Libros,En el 2020
31/5/2022 10:47:41,Mujer,18 - 25,Sí,8,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,9,"Mercado libre, Instagram, Sitio web propio","Ropa, Accesorios",Entre el 2021 - 2022
31/5/2022 10:49:08,No binario,18 - 25,Sí,3,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc), Showroom",Comodidad,Prefiero ver el producto antes de comprar,10,"Mercado libre, Sitio web propio","Ropa, Electrodomésticos, Juegos y juguetes, Accesorios, Servicios",En el 2020
31/5/2022 11:07:21,Varón,56 o más,Sí,7,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,10,Mercado libre,Ropa,En el 2020
31/5/2022 11:10:59,Varón,36 - 45,Sí,10,"Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,10,Mercado libre,Productos para el hogar,Entre el 2021 - 2022
31/5/2022 11:27:30,Mujer,18 - 25,Sí,8,"Empresas, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,8,"Mercado libre, Instagram, Sitio web propio","Productos para el hogar, Electrodomésticos, Cosméticos y productos de farmacia, Mascotas ",En el 2020
31/5/2022 11:37:27,Mujer,18 - 25,Sí,10,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,8,"WhatsApp, Mercado libre","Productos para el hogar, Juegos y juguetes, Accesorios, Tecnología",En el 2020
31/5/2022 11:40:19,Mujer,18 - 25,Sí,7,"Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,7,Mercado libre,"Productos para el hogar, Electrodomésticos, Accesorios, Cosméticos y productos de farmacia",En el 2020
31/5/2022 11:51:24,Varón,18 - 25,Sí,5,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,7,"WhatsApp, Mercado libre, Instagram","Ropa, Alimentos, Tecnología",Entre el 2021 - 2022
31/5/2022 11:59:10,Mujer,18 - 25,Sí,10,"Empresas, Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,8,Sitio web propio,"Ropa, Accesorios, Cosméticos y productos de farmacia, Tecnología",En el 2020
31/5/2022 12:08:03,Mujer,18 - 25,Sí,3,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,8,Sitio web propio,Libros ,Entre el 2021 - 2022
31/5/2022 12:21:11,Varón,18 - 25,Sí,7,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,9,"Mercado libre, Instagram","Ropa, Productos para el hogar, Tecnología",Entre el 2021 - 2022
31/5/2022 12:30:22,Mujer,18 - 25,Sí,5,"Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,7,"Mercado libre, Instagram","Accesorios, Tecnología",Entre el 2021 - 2022
31/5/2022 12:58:48,Varón,18 - 25,Sí,8,"Empresas, Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,10,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Calzado, Electrodomésticos, Accesorios, Tecnología",En el 2020
31/5/2022 15:34:37,Varón,26 - 35,Sí,5,"Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,Prefiero ver el producto antes de comprar,8,"Mercado libre, Instagram","Alimentos, Calzado, Electrodomésticos, Productos para la actividad física, Tecnología",Entre el 2021 - 2022
31/5/2022 19:24:47,Varón,18 - 25,Sí,6,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,Verificar la calidad,8,"Mercado libre, Instagram, Sitio web propio","Ropa, Alimentos, Educación",Entre el 2021 - 2022
1/6/2022 13:06:34,Varón,17 o menos,Sí,4,"Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,Verificar la calidad,8,"Mercado libre, Instagram, Sitio web propio","Calzado, Accesorios, Tecnología",Entre el 2021 - 2022
1/6/2022 18:25:15,Mujer,17 o menos,Sí,6,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,10,"Mercado libre, Instagram","Ropa, Juegos y juguetes, Accesorios",Entre el 2021 - 2022
1/6/2022 18:25:58,,17 o menos,Sí,2,"Por plataformas de venta online (MercadoLibre, etc)",,No me manejo bien con las páginas web,10,Mercado libre,"Tecnología, Productos para el auto",Entre el 2021 - 2022
1/6/2022 18:27:27,Mujer,26 - 35,Sí,3,Emprendedores,,Prefiero ver el producto antes de comprar,4,"Mercado libre, Sitio web propio","Juegos y juguetes, Accesorios",Entre 2016 - 2019
1/6/2022 21:46:30,Mujer,18 - 25,Sí,7,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,9,"Instagram, Sitio web propio","Ropa, Cosméticos y productos de farmacia",En el 2020
1/6/2022 22:50:32,Mujer,17 o menos,Sí,7,"Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,.,8,"Mercado libre, Instagram","Alimentos, Productos para el hogar, Electrodomésticos, Cosméticos y productos de farmacia",Entre el 2021 - 2022
